	course_code	course_title	offering_unit
348	Arch 262	Research Methods for Housing Design	Arch
349	Arch 264	Analytical Methods for Housing Design	Arch
350	Arch 265	Current Issues in Housing	Arch
351	Arch 267	Special Studies in Housing	Arch
352	Arch 268	Housing Design	Arch
353	Arch 299	Seminar	Arch
354	Arch 300	Thesis	Arch
355	Archaeo 2	Archaeological Heritage: The Past is Not a Foreign Land	UPSA
356	Archaeo 201	Foundations of Archaeology	UPSA
357	Archaeo 202	History of Archaeology	UPSA
358	Archaeo 203	Archaeology and Culture	UPSA
359	Archaeo 204	Scientific Archaeological Analysis	UPSA
360	Archaeo 206	Field Methods in Archaeology	UPSA
361	Archaeo 207	Laboratory and Applied Analysis of Archaeological Remains	UPSA
362	Archaeo 210	Statistics in Archaeology	UPSA
363	Archaeo 211	Computer Programs in Archaeology	UPSA
364	Archaeo 218	Ethnoarchaeology	UPSA
365	Archaeo 219	Museology	UPSA
366	Archaeo 220	Philippine Prehistoric Archaeology	UPSA
367	Archaeo 221	Stone Ages	UPSA
368	Archaeo 222	Metal Ages	UPSA
369	Archaeo 224	Southeast Asian Prehistoric Archaeology	UPSA
370	Archaeo 230	Complex Societies in Southeast Asia	UPSA
371	Archaeo 231	Settlement Patterns and Household Systems in Southeast Asia	UPSA
372	Archaeo 234	Archaeology of Trade	UPSA
373	Archaeo 240	Human Paleontology	UPSA
374	Archaeo 241	Mortuary Analysis in Archaeology	UPSA
375	Archaeo 242	Archaeozoological Remains	UPSA
376	Archaeo 243	Lithic Analysis	UPSA
377	Archaeo 244	Ceramic Analysis	UPSA
378	Archaeo 245	Geoarchaeology	UPSA
379	Archaeo 246	Archaeobotanical Remains	UPSA
380	Archaeo 250	Historical Archaeology	UPSA
381	Archaeo 251	Maritime and Underwater Archaeology	UPSA
382	Archaeo 260	Archaeological Resource Management	UPSA
383	Archaeo 269	Archaeological Applications of Geology	UPSA
384	Archaeo 270	Readings in Archaeology	UPSA
385	Archaeo 297	Special Topics in Archaeology	UPSA
386	Archaeo 298	Special Topics in Regional Archaeology	UPSA
387	Archaeo 299	Research	UPSA
388	Archaeo 300	Master's Thesis	UPSA
389	Archaeo 301	Advanced Field Methods	UPSA
390	Archaeo 302	Heritage Management	UPSA
391	Archaeo 399	Independent Study	UPSA
392	Archaeo 400	Dissertation	UPSA
393	Archi 201	Architecture and Landscape Architecture Theories	Arch
394	Archi 202	Foundations of Qualitative Research in the Designed and Built Environment	Arch
395	Archi 203	Foundations of Quantitative Research in the Designed and Built Environment	Arch
396	Archi 210	Writings and Precedents in Architecture and Landscape Architecture	Arch
397	Archi 211	Studio Topic 	Arch
398	Archi 231	Urban Design Principles	Arch
399	Archi 232	Environmental Issues in Urban Design	Arch
400	Archi 233	Housing and Real Estate Development Issues in Urban Design	Arch
401	Archi 241	Architectural Heritage Studies	Arch
402	Archi 242	Conservation Management Planning	Arch
403	Archi 243	Architectural Heritage Theory and Conservation Laws	Arch
404	Archi 244	The Science of Built Heritage Conservation	Arch
405	Archi 251	Structuring Architectural Form	Arch
406	Archi 252	Lighting and Acoustics in Architecture	Arch
407	Archi 253	Design Visualization and Computation	Arch
408	Archi 254	Methods and Meanings of Building Materials and Systems	Arch
409	Archi 261	People, Climate and Architecture	Arch
410	Archi 262	Tropical Dwellings	Arch
411	Archi 263	Tropical Coastal Developments	Arch
412	Archi 299	Graduate Seminar	Arch
413	Archi 300	Thesis	Arch
414	Arkiyoloji 1	Ang Pilipinas: Arkiyoloji at Kasaysayan	UPSA
415	Art Stud 2	Art Around Us: Exploring Everyday Life	DAS
416	Art Stud 50	The Field of Art Studies	DAS
417	Art Stud 100	The Visual Arts of the West from their Beginnings to High Renaissance	DAS
418	Art Stud 101	The Visual Arts of the West from the Mannerists to the Impressionists	DAS
419	Art Stud 102	The Human Image in the Arts	DAS
420	Art Stud 103	Folk Art	DAS
421	Art Stud 104	The Performing Arts	DAS
422	Art Stud 105	The Elements of Music	DAS
423	Art Stud 106	Musical Forms	DAS
424	Art Stud 107	Elements of Dance	DAS
425	Art Stud 109	Forms and Theories of Performance in Art Studies	DAS
426	Art Stud 110	The Classical Tradition in the Arts	DAS
427	Art Stud 111	Arts of the World I	DAS
428	Art Stud 112	Arts of the World II	DAS
429	Art Stud 113	Arts of the World III	DAS
430	Art Stud 115	The Medieval Tradition in the Arts	DAS
431	Art Stud 120	The Romantic Tradition in the Arts	DAS
432	Art Stud 125	The Spirit of the Renaissance in the Arts	DAS
433	Art Stud 130	The Spirit of the Baroque and Rococo in the Arts	DAS
434	Art Stud 135	19th Century Western Art	DAS
435	Art Stud 140	Modern Art	DAS
436	Art Stud 141	Photography as Art	DAS
437	Art Stud 142	The Cinematic Arts	DAS
438	Art Stud 143	Contemporary Art	DAS
439	Art Stud 144	New Media Art	DAS
440	Art Stud 150	The Arts in East Asia	DAS
441	Art Stud 151	The Arts in Southeast Asia	DAS
442	Art Stud 152	The Arts in South Asia	DAS
443	Art Stud 153	The Arts in West Asia and North Africa	DAS
444	Art Stud 154	The Arts in African Cultures	DAS
445	Art Stud 155	The Arts in North America	DAS
446	Art Stud 156	The Arts in Latin America	DAS
447	Art Stud 157	Contemporary Arts of Asia	DAS
448	Art Stud 160	Music in Asian Cultures	DAS
449	Art Stud 161	Music in Western Cultures	DAS
450	Art Stud 162	Dance in Asian Cultures	DAS
451	Art Stud 163	Dance in Western Cultures	DAS
452	Art Stud 170	Philippine Art and Society	DAS
453	Art Stud 171	The Arts of Philippine Living Traditions	DAS
